texto,categoria,prioridade,setor
Preciso de suporte porque equipamento de impressão perdeu comunicação com a rede. O serviço é essencial e a indisponibilidade está afetando grande parte da operação. Solicito análise da equipe responsável.,Impressora,Crítica,Infraestrutura
Estamos com uma ocorrência em que aplicação apresentou atividade incomum associada a um usuário. A solicitação não impede o trabalho neste momento e pode aguardar atendimento. Solicito análise da equipe responsável.,Segurança,Baixa,Sistemas
"Estamos com uma ocorrência em que teclado parou de responder corretamente. Vários usuários do mesmo setor estão sendo afetados e uma atividade importante ficou interrompida. Podem verificar, por favor?",Hardware,Alta,Suporte N1
Estamos com uma ocorrência em que foi identificado possível e-mail de phishing na caixa corporativa. A ocorrência está interrompendo uma operação essencial para muitos usuários da empresa. Precisamos de orientação para resolver a situação.,E-mail,Crítica,Segurança
Estamos com uma ocorrência em que equipamento foi encontrado com um dispositivo desconhecido conectado. A solicitação não impede o trabalho neste momento e pode aguardar atendimento. Solicito análise da equipe responsável.,Hardware,Baixa,Segurança
Foi identificado que computador não consegue acessar a rede corporativa. A atividade pode continuar por outro caminho e não há interrupção relevante. Solicito análise da equipe responsável.,Rede,Baixa,Infraestrutura
Preciso de suporte porque usuário recebeu mensagem suspeita solicitando credenciais. A falha está impedindo uma operação importante para a equipe e precisa de atendimento rápido. Precisamos de orientação para resolver a situação.,E-mail,Alta,Segurança
Foi identificado que foi identificado tráfego de rede incomum em uma estação. A atividade pode continuar por outro caminho e não há interrupção relevante. Solicito análise da equipe responsável.,Rede,Baixa,Segurança
"Foi identificado que credenciais parecem ter sido utilizadas em outro dispositivo. A atividade pode continuar por outro caminho e não há interrupção relevante. Podem verificar, por favor?",Acesso,Baixa,Segurança
Estamos com uma ocorrência em que integração do sistema com o envio de e-mails falhou. A ocorrência está interrompendo uma operação essencial para muitos usuários da empresa. Solicito análise da equipe responsável.,E-mail,Crítica,Sistemas
Foi identificado que conta apresenta acessos que o usuário não reconhece. Diversas equipes estão sem conseguir trabalhar e não há alternativa disponível no momento. Precisamos de orientação para resolver a situação.,Acesso,Crítica,Segurança
"Preciso de suporte porque conexão Wi-Fi cai durante o expediente. A falha está impedindo uma operação importante para a equipe e precisa de atendimento rápido. Podem verificar, por favor?",Rede,Alta,Infraestrutura
"Foi identificado que computador não consegue acessar a rede corporativa. O problema se espalhou para diferentes usuários e está comprometendo uma atividade do setor. Podem verificar, por favor?",Rede,Alta,Infraestrutura
Foi identificado que equipamento apresenta falha após troca de componente. O problema afeta o trabalho de uma pessoa e está causando perda de produtividade. Solicito análise da equipe responsável.,Hardware,Média,Infraestrutura
"Foi identificado que driver da impressora apresenta erro na estação. A atividade pode continuar por outro caminho e não há interrupção relevante. Podem verificar, por favor?",Impressora,Baixa,Suporte N1
Preciso de suporte porque funcionalidade do portal corporativo não responde. O serviço é essencial e a indisponibilidade está afetando grande parte da operação. Solicito análise da equipe responsável.,Software,Crítica,Sistemas
"Preciso de suporte porque notebook apresenta falha ao reconhecer dispositivos USB. O serviço é essencial e a indisponibilidade está afetando grande parte da operação. Podem verificar, por favor?",Hardware,Crítica,Suporte N1
"Preciso de suporte porque sistema está retornando erro durante o processamento. O problema é pontual e existe uma alternativa para continuar trabalhando. Podem verificar, por favor?",Software,Baixa,Sistemas
"Preciso de suporte porque disco do computador apresenta erros durante o uso. A falha está impedindo uma operação importante para a equipe e precisa de atendimento rápido. Podem verificar, por favor?",Hardware,Alta,Infraestrutura
Estamos com uma ocorrência em que usuário não consegue enviar mensagens pelo e-mail corporativo. Um usuário está com dificuldade para executar uma atividade normal e precisa de suporte. Solicito análise da equipe responsável.,E-mail,Média,Suporte N1
Preciso de suporte porque driver da impressora apresenta erro na estação. A falha está impedindo uma operação importante para a equipe e precisa de atendimento rápido. Solicito análise da equipe responsável.,Impressora,Alta,Suporte N1
Foi identificado que sistema está retornando erro durante o processamento. A atividade pode continuar por outro caminho e não há interrupção relevante. Solicito análise da equipe responsável.,Software,Baixa,Sistemas
"Preciso de suporte porque funcionalidade do portal corporativo não responde. A rotina de trabalho foi prejudicada, embora outras atividades ainda possam ser realizadas. Precisamos de orientação para resolver a situação.",Software,Média,Sistemas
Preciso de suporte porque funcionalidade do portal corporativo não responde. O problema é pontual e existe uma alternativa para continuar trabalhando. Solicito análise da equipe responsável.,Software,Baixa,Sistemas
Foi identificado que usuário recebeu alerta de acesso suspeito. O problema se espalhou para diferentes usuários e está comprometendo uma atividade do setor. Solicito análise da equipe responsável.,Segurança,Alta,Segurança
"Foi identificado que internet está instável em uma área do escritório. Diversas equipes estão sem conseguir trabalhar e não há alternativa disponível no momento. Podem verificar, por favor?",Rede,Crítica,Infraestrutura
"Preciso de suporte porque aplicativo corporativo fecha sozinho ao executar uma tarefa. O problema é pontual e existe uma alternativa para continuar trabalhando. Podem verificar, por favor?",Software,Baixa,Suporte N1
"Estamos com uma ocorrência em que acesso a recursos internos pela rede está falhando. A solicitação não impede o trabalho neste momento e pode aguardar atendimento. Podem verificar, por favor?",Rede,Baixa,Infraestrutura
"Estamos com uma ocorrência em que programa instalado não abre para o usuário. A ocorrência está interrompendo uma operação essencial para muitos usuários da empresa. Podem verificar, por favor?",Software,Crítica,Suporte N1
Foi identificado que acesso a recursos internos pela rede está falhando. Diversas equipes estão sem conseguir trabalhar e não há alternativa disponível no momento. Precisamos de orientação para resolver a situação.,Rede,Crítica,Infraestrutura
Estamos com uma ocorrência em que usuário precisa de orientação após receber um alerta de segurança. A solicitação não impede o trabalho neste momento e pode aguardar atendimento. Precisamos de orientação para resolver a situação.,Segurança,Baixa,Suporte N1
Estamos com uma ocorrência em que equipamento apresenta falha após troca de componente. A ocorrência está interrompendo uma operação essencial para muitos usuários da empresa. Solicito análise da equipe responsável.,Hardware,Crítica,Infraestrutura
Foi identificado que documentos ficam presos na fila de impressão. O problema se espalhou para diferentes usuários e está comprometendo uma atividade do setor. Solicito análise da equipe responsável.,Impressora,Alta,Suporte N1
"Estamos com uma ocorrência em que equipamento apresenta falha após troca de componente. Vários usuários do mesmo setor estão sendo afetados e uma atividade importante ficou interrompida. Podem verificar, por favor?",Hardware,Alta,Infraestrutura
"Preciso de suporte porque regra automática de e-mail não está funcionando corretamente. A rotina de trabalho foi prejudicada, embora outras atividades ainda possam ser realizadas. Precisamos de orientação para resolver a situação.",E-mail,Média,Sistemas
Estamos com uma ocorrência em que mensagens ficam presas na caixa de saída. Vários usuários do mesmo setor estão sendo afetados e uma atividade importante ficou interrompida. Solicito análise da equipe responsável.,E-mail,Alta,Suporte N1
Estamos com uma ocorrência em que rede apresenta perda de conexão durante o trabalho. Vários usuários do mesmo setor estão sendo afetados e uma atividade importante ficou interrompida. Precisamos de orientação para resolver a situação.,Rede,Alta,Infraestrutura
"Estamos com uma ocorrência em que rede apresenta perda de conexão durante o trabalho. A solicitação não impede o trabalho neste momento e pode aguardar atendimento. Podem verificar, por favor?",Rede,Baixa,Infraestrutura
Estamos com uma ocorrência em que programa desconhecido apareceu instalado na máquina. A ocorrência está interrompendo uma operação essencial para muitos usuários da empresa. Precisamos de orientação para resolver a situação.,Software,Crítica,Segurança
