texto,categoria,prioridade,setor,grupo
Estou com um problema: Isso está atrapalhando o trabalho de uma pessoa durante a rotina. O problema é que uma configuração foi modificada sem autorização.,Segurança,Média,Segurança,alteracao_nao_autorizada
"Pessoal, a conexão sem fio cai várias vezes. Uma atividade normal ficou prejudicada, embora ainda seja possível fazer outras tarefas. Podem me ajudar?",Rede,Média,Infraestrutura,wifi
"Tenho uma ocorrência em que A rotina individual está comprometida, porém o restante da equipe segue trabalhando. O problema é que a máquina desliga quando fica quente. Podem me ajudar?",Hardware,Média,Infraestrutura,temperatura
"Bom dia, Não há atividade parada; preciso apenas que seja verificado quando possível. O problema é que o computador não dá sinal ao apertar o botão de ligar. Preciso de orientação.",Hardware,Baixa,Suporte N1,energia
"Bom dia, Consigo continuar por outro caminho e isso não bloqueia minha rotina. O problema é que o aplicativo autenticador não aceita o código. Solicito análise.",Acesso,Baixa,Suporte N1,mfa
Preciso de ajuda: A conexão sem fio cai várias vezes. Não há atividade parada; preciso apenas que seja verificado quando possível. Isso começou hoje.,Rede,Baixa,Infraestrutura,wifi
O equipamento passou a apresentar comportamento incomum. Várias pessoas do setor estão com o mesmo problema e uma atividade importante parou. Agradeço se puderem verificar.,Segurança,Alta,Segurança,comportamento_suspeito
"Bom dia, A rotina individual está comprometida, porém o restante da equipe segue trabalhando. O problema é que o documento impresso fica com partes ilegíveis. Conseguem verificar?",Impressora,Média,Suporte N1,qualidade
Podem verificar? Um recurso foi modificado sem registro conhecido da equipe. É um incômodo pontual e o trabalho continua normalmente.,Segurança,Baixa,Sistemas,alteracao_nao_autorizada
Preciso de ajuda: A estação perde a conexão sem fio de tempos em tempos. Diversas equipes não conseguem trabalhar por causa dessa indisponibilidade.,Rede,Crítica,Infraestrutura,wifi
Estou com um problema: A equipe está sem conseguir concluir uma operação necessária para o trabalho. O problema é que a impressão apresenta manchas e trechos faltando. Preciso de orientação.,Impressora,Alta,Suporte N1,qualidade
Podem verificar? Preciso consultar uma tela e recebo aviso de permissão. Um serviço essencial para a empresa ficou indisponível para muitos usuários.,Acesso,Crítica,Sistemas,permissao
"Bom dia, A ocorrência interrompeu uma operação essencial em larga escala. O problema é que um programa necessário não abre depois da instalação. Isso começou hoje.",Software,Crítica,Sistemas,instalacao
Tenho uma ocorrência em que Várias pessoas do setor estão com o mesmo problema e uma atividade importante parou. O problema é que o notebook não consegue se conectar à rede sem fio. Isso começou hoje.,Rede,Alta,Infraestrutura,wifi
Uma ferramenta autorizada precisa ser reinstalada. Só uma tarefa secundária foi afetada e tenho outra forma de realizá-la. Conseguem verificar?,Software,Baixa,Suporte N1,instalacao
"Olá, o ventilador do computador trabalha no máximo o tempo todo. A ocorrência já compromete o trabalho de uma equipe inteira. Agradeço se puderem verificar.",Hardware,Alta,Infraestrutura,temperatura
O notebook não carrega mesmo conectado à energia. A indisponibilidade tem impacto amplo e exige restauração imediata do serviço. Podem me ajudar?,Hardware,Crítica,Suporte N1,energia
"Bom dia, A equipe está sem conseguir concluir uma operação necessária para o trabalho. O problema é que o sistema interno apresenta erro durante o cadastro. Isso começou hoje.",Software,Alta,Sistemas,erp
Estou com um problema: Muitos usuários estão impedidos de executar atividades críticas da empresa. O problema é que a conexão física da estação não disponibiliza a rede. Conseguem verificar?,Rede,Crítica,Infraestrutura,cabeada
Preciso de ajuda: Um programa necessário não abre depois da instalação. Grande parte da operação está parada e não existe alternativa disponível. Podem me ajudar?,Software,Crítica,Sistemas,instalacao
"Bom dia, Diversos usuários foram impactados e não há uma solução prática para o setor. O problema é que a estação não consegue acessar uma pasta compartilhada. Agradeço se puderem verificar.",Rede,Alta,Infraestrutura,recursos_rede
"Olá, a função de digitalização não aparece no computador. Só uma tarefa secundária foi afetada e tenho outra forma de realizá-la. Conseguem verificar?",Impressora,Baixa,Suporte N1,scanner
"Olá, o acesso remoto cai poucos minutos depois de conectar. Várias pessoas do setor estão com o mesmo problema e uma atividade importante parou. Preciso de orientação.",Rede,Alta,Infraestrutura,vpn
"Olá, não consigo concluir a recuperação da senha. A rotina individual está comprometida, porém o restante da equipe segue trabalhando. Isso começou hoje.",Acesso,Média,Suporte N1,senha
"Pessoal, os e-mails não estão sendo movidos para a pasta configurada. Uma função importante para o setor ficou indisponível para várias pessoas. Agradeço se puderem verificar.",E-mail,Alta,Sistemas,regras
"Pessoal, a estação informa que o equipamento não está conectado. Isso está atrapalhando o trabalho de uma pessoa durante a rotina. Podem me ajudar?",Impressora,Média,Suporte N1,offline
Podem verificar? A impressora não aparece disponível na estação. Um serviço essencial para a empresa ficou indisponível para muitos usuários. Preciso de orientação.,Impressora,Crítica,Suporte N1,offline
Preciso de ajuda: O aplicativo foi instalado mas não inicia. A equipe está sem conseguir concluir uma operação necessária para o trabalho. Agradeço se puderem verificar.,Software,Alta,Sistemas,instalacao
Preciso de ajuda: O computador executa ações inesperadas durante o expediente. É um incômodo pontual e o trabalho continua normalmente. Solicito análise.,Segurança,Baixa,Segurança,comportamento_suspeito
Podem verificar? O usuário ficou impedido de iniciar sessão. A ocorrência já compromete o trabalho de uma equipe inteira. Podem me ajudar?,Acesso,Alta,Suporte N1,bloqueio
"Pessoal, um compartilhamento corporativo ficou inacessível. Diversos usuários foram impactados e não há uma solução prática para o setor. Conseguem verificar?",Rede,Alta,Infraestrutura,recursos_rede
"Bom dia, Várias pessoas do setor estão com o mesmo problema e uma atividade importante parou. O problema é que o acesso falha na etapa de autenticação. Isso começou hoje.",Acesso,Alta,Suporte N1,login
Estou com um problema: O problema afeta diversos usuários e precisa ser tratado com rapidez. O problema é que o programa fecha sozinho durante o uso. Preciso de orientação.,Software,Alta,Suporte N1,aplicativo_fechando
Podem verificar? Preciso redefinir a senha da conta. Só uma tarefa secundária foi afetada e tenho outra forma de realizá-la. Preciso de orientação.,Acesso,Baixa,Suporte N1,senha
Podem verificar? Recebi uma mensagem pedindo para confirmar minha senha em um link. Consigo continuar por outro caminho e isso não bloqueia minha rotina. Solicito análise.,Segurança,Baixa,Segurança,phishing
Estou com um problema: O usuário perdeu produtividade e precisa de suporte para continuar a atividade. O problema é que uma tela do sistema de gestão não carrega. Isso começou hoje.,Software,Média,Sistemas,erp
"Pessoal, o histórico mostra entrada que não reconheço. Existe uma alternativa funcionando, então a solicitação pode aguardar. Agradeço se puderem verificar.",Segurança,Baixa,Segurança,acesso_suspeito
Tenho uma ocorrência em que Um serviço essencial para a empresa ficou indisponível para muitos usuários. O problema é que há atraso no recebimento de mensagens corporativas. Podem me ajudar?,E-mail,Crítica,Segurança,recebimento
Podem verificar? Surgiram alertas sobre um possível software malicioso. O problema afeta diversos usuários e precisa ser tratado com rapidez. Preciso de orientação.,Segurança,Alta,Segurança,malware
Identificamos que o computador faz ruído forte de ventilação e aquece. A indisponibilidade tem impacto amplo e exige restauração imediata do serviço.,Hardware,Crítica,Infraestrutura,temperatura
Identificamos que os trabalhos de impressão não saem da lista. Só uma tarefa secundária foi afetada e tenho outra forma de realizá-la. Isso começou hoje.,Impressora,Baixa,Suporte N1,fila
Identificamos que o equipamento compartilhado não recebe trabalhos pela rede. Diversos usuários foram impactados e não há uma solução prática para o setor.,Impressora,Alta,Infraestrutura,rede_impressao
O monitor não recebe sinal do computador. Um serviço essencial para a empresa ficou indisponível para muitos usuários. Isso começou hoje.,Hardware,Crítica,Suporte N1,video
Identificamos que uma tela do sistema de gestão não carrega. Uma função importante para o setor ficou indisponível para várias pessoas. Solicito análise.,Software,Alta,Sistemas,erp
